Código,Descripción
1,OSARIO MISMO NIVEL
4,OSARIO GRUPO 2B
7,SEPULTURA DE LES CENDRES
15,NICHO UNIFICADO
21,NICHO ESPECIAL (FOSA)
35,NICHO NUMERACION ROMANA
55,NICHO DIMEN. REDUCIDA
70,NICHO COLUMBARIO
80,NICHO COLUMBARIO A
87,COL. A CONVERTIDO A OSARIO
100,NICHO COLUMBARIO B
107,COL. B CONVERTIDO A OSARIO
120,NICHO COLUMBARIO E
130,COLUMBARIO A NUM. ROMANA
134,CINERARIO INT. MAUSOLEO
137,CINER.ESP.CERRADO 1 INHUM.
140,NICHO HIPOGEO
150,NICHO HIPOGEO OGIVAL
157,HIPOGEO OGIVAL (OSARIO)
171,NICHO HIPOGEO TRAPECIAL (FOSA)
190,HIPOGEU ROMÀNIC TIPUS A
230,NÍNXOL HIPOGEU PENTAG.
237,HIP. PENTAGONAL (OSARIO)
250,NICHO HIPOGEO PENT.PROL*
261,ARQUEADO (FOSA)
280,HIPOGEO BIZANTINO A
300,HIPOGEO ETRUSCO
320,HIPOGEO CIPO MAYOR B
350,CIPO MENOR SEGUNDA CLASE
385,SARCÒFAG DIVER.COMPARTIM.
395,TUMBA CON CRIPTA
405,TUMBA MENOR 3 COMPART.
415,TUMBA MENOR A 3 COMPART.
430,TUMBA ESPECIAL
450,TUMBA CON ESTELA GRIEGA
480,TUMBA MAYOR A
510,PANTEÓ
515,PANTEÓ ADOSSAT A PARET
570,ARCO SOLAR
600,MAUSOLEO SENCILLO
630,MAUSOLEU SENZILL SARCÒFAG
933,PLANTA
985,ARBRE - BOSC DEL SILENCI
988,FLOR - JARDÍ DE LA MEDITERRÀNIA
991,MEMORIAL COLLSEROLA 12X6
994,MEMORIAL COLLSEROLA 36X18
997,JARDÍ DEL REPÒS
2,OSARIO DISTINTO NIVEL
5,FOSA (NICHO)
10,NÍNXOL
17,NICHO CONVERTIDO A OSARIO
30,NICHO PREFERENCIA
40,NICHO NORMAL CON OSARIO
60,NÍNXOL PÀRVUL
71,NICHO COLUMBARIO (FOSA)
81,COL. A (FOSA)
90,NICHO COLUMBARIO A BIS
101,COL. B (FOSA)
110,NICHO COLUMBARIO C
121,COL. E (FOSA)
132,CINER.ESP.TANCAT DIV.INH
135,COLUMBARIO CINERARIO
138,CINERARIO INOX.VARIAS INH.
141,NICHO HIPOGEO (FOSA)
151,OGIVAL (FOSA)
160,HIPOGEO OGIVAL A
177,HIPOGEO TRAPECIAL(OSARIO)
210,HIPOGEO LOCILLO C
231,HIPOGEO PENTAGONAL(FOSA)
240,NICHO HIPOGEO PENT. PROL
251,NINXOL HIP PENT.PROL* (FOSSA)
267,HIPOGEO ARQUEADO (OSARIO)
290,HIPOGEO EGIPCIO
305,CIPO MAYOR
330,HIPOGEO CIPO MAYOR C
354,CIPO MENOR 2 VAR. COMPAR.
390,TUMBA SIN CRIPTA
400,TUMBA MENOR
406,TUMBA MENOR CON FORNICULA
420,TUMBA MENOR B
431,TUMBA ESP.6 COMPART.COLL
460,TUMBA MAYOR PRIMERA CLASE
490,TUMBA ALCOVER
511,PANTEÓ AMB JARDINERES
530,ARCO CAPILLA
580,OSERA INDIVIDUALIZADA
610,MAUSOLEO DOBLE
888,SEPULTURA COMUNA SANT ANTONI
934,ARBRE NEMED
986,PLANTA - BOSC DEL SILENCI
989,ARBOL MEMORIAL
992,MEMORIAL COLLSEROLA 18X9
995,JARDÍN ESPARCIMENTO
998,FOSA COMUN
3,OSARIO GRUPO 2A
6,OSARIO GRUPO 2C
11,NICHO (FOSA)
20,NICHO ESPECIAL
31,NICHO PREFERENCIA (FOSA)
50,NÍNXOL DIMENSIONS GROSSES
61,NÍNXOL PÀRVUL (ISLAMIC)
77,COL. CONVERTIDO A OSARIO
82,NICHO COL A CON LAP. MARCO
91,NICHO COLUMBARIO A BIS (FOSA)
105,NICHO COLUMBARIO B ESP.
111,NICHO COLUMBARIO C (FOSA)
127,COL. E CONVERTIDO A OSARIO
133,CINERARIO VARIAS INHUM.
136,CINERARIO UNA INHUMACIÓN
139,CINERARIO VARIAS INH. TUMBA
147,HIPOGEO CONVERTIDO OSARIO
155,HIPOGEO OGIVAL UNIFICADO
170,NICHO HIPOGEO TRAPECIAL
180,HIPOGEO LOCILLO
220,HIPOGEO LOCILLO ARQUEADO
235,HIP. PENTAGONAL UNIFICADO
241,NINXOL HIPOGEU PENT. PROL(FOSSA)
260,NÍNXOL HIPOGEU ARQUEJAT
270,HIPOGEO ARCOSOLEO MENOR
294,HIP. EGIPCIO VARIOS COMPART.
310,HIPOGEO CIPO MAYOR A
340,CIPO MENOR PRIMERA CLASE
380,SARCÒFAG UN COMPARTIMENT
391,TUMBA TIPO AMERICANO
404,TUMBA MENOR VAR. COMPART.
410,TUMBA MENOR A
425,TUMBA MENOR B 3 COMPART.
440,TOMBA AMB ESTELA RÚSTICA
470,TUMBA MAYOR SEGUNDA CLASE
500,TERRENO
512,PANTEÓ AMB VORERES
550,ARCO CUEVA
590,NICHO ESP. CON LAPIDA
620,MAUSOLEU DOBLE SARCÒOFAG
932,COL.CIN.ESP.LES CORTS
984,HIPOGEU LOCILLO GENERAL PER CENDRES
987,ARBRE - JARDÍ DE LA MEDITERRÀNIA
990,JARDÍ DELS AROMES
993,MEMORIAL COLLSEROLA 24X12
996,BOSQUE ESPARCIMIENTO
999,OSARIO GENERAL
